id,kod_pytania,partia_numer,partia_tytul,zagadnienie,wariant,numer_pytania,pytanie_skrot,pytanie,odpowiedz_wzorcowa,notatka,ma_odpowiedz,zrodlo_plik
1,WYM-A01,1,Wymagania przekrojowe,Wymagania przekrojowe,A,1,"Po co w ogóle zapisujemy wynik pomiaru razem z niepewnością pomiarową, a…","Po co w ogóle zapisujemy wynik pomiaru razem z niepewnością pomiarową, a nie samą liczbą? Wytłumacz to tak, jakbyś tłumaczył komuś, kto nigdy nie robił pomiarów.","Żaden pomiar nie jest idealnie dokładny — zawsze ogranicza nas dokładność przyrządu i sposób odczytu, więc prawdziwa wartość mierzonej wielkości może różnić się od tego, co odczytaliśmy. Podając samą liczbę, np. „14,3 cm”, sugerujemy, że znamy wynik co do milimetra bez żadnych wątpliwości, co jest nieprawdą. Zapisując wynik z niepewnością, np. (14,3 ± 0,1) cm, mówimy uczciwie: „rzeczywista długość mieści się gdzieś w przedziale od 14,2 do 14,4 cm”. Dzięki temu każda inna osoba wie, jak bardzo może ufać naszemu wynikowi i czy różnice między dwoma pomiarami są realne, czy mieszczą się w granicach błędu.",,TAK,odpowiedzi-fizyka-wymagania-przekrojowe.csv
2,WYM-A02,1,Wymagania przekrojowe,Wymagania przekrojowe,A,2,Czym różni się „zaokrąglanie wyniku” od „zgadywania wyniku”? Dlaczego w…,Czym różni się „zaokrąglanie wyniku” od „zgadywania wyniku”? Dlaczego w fizyce nie podajemy dowolnie dużo cyfr po przecinku?,"Zaokrąglanie polega na obcięciu wyniku do tylu cyfr, ile faktycznie jesteśmy w stanie sensownie zmierzyć lub obliczyć — liczba cyfr wynika z dokładności przyrządu i przeprowadzonych obliczeń. Zgadywanie to dopisywanie kolejnych cyfr, których przyrząd ani metoda pomiaru w ogóle nie są w stanie dostarczyć — to pozorna, fikcyjna precyzja. Dlatego w fizyce nie podajemy dowolnie wielu cyfr po przecinku: jeśli np. linijka ma podziałkę co 1 mm, nie możemy nagle podać długości z dokładnością do 0,001 mm, bo to sugerowałoby dokładność, której nasz pomiar naprawdę nie posiada.",,TAK,odpowiedzi-fizyka-wymagania-przekrojowe.csv
3,WYM-B01,1,Wymagania przekrojowe,Wymagania przekrojowe,B,1,Masz wykres zależności jakiejś wielkości od czasu: linia najpierw rośnie…,"Masz wykres zależności jakiejś wielkości od czasu: linia najpierw rośnie, potem jest pozioma. Opisz słowami, co dzieje się z tą wielkością w obu fragmentach, bez odczytywania konkretnych liczb.","W pierwszym fragmencie wielkość rośnie wraz z upływem czasu — im dalej w prawo na wykresie, tym większa jej wartość. W drugim fragmencie linia jest pozioma, co oznacza, że wielkość przestaje się zmieniać i pozostaje stała na pewnym poziomie — NIE oznacza to, że jej wartość spadła do zera ani że coś zniknęło, tylko że ustabilizowała się i już nie rośnie ani nie maleje. Miejsce, w którym najczęściej pojawia się błąd: mylenie „linii poziomej” z „brakiem wielkości” lub „zerem” — w rzeczywistości pozioma linia mówi o braku ZMIANY (szybkość zmian spadła do zera), a nie o braku samej wielkości, która nadal ma swoją, niezerową (o ile wykres jej nie dotyka) wartość.",pułapka: mylenie wartości wielkości z szybkością jej zmiany,TAK,odpowiedzi-fizyka-wymagania-przekrojowe.csv
4,WYM-B02,1,Wymagania przekrojowe,Wymagania przekrojowe,B,2,"Kolega mówi: „Zauważyłem, że łyżka w gorącej herbacie robi się ciepła”…","Kolega mówi: „Zauważyłem, że łyżka w gorącej herbacie robi się ciepła”. Nazwij to zjawisko i wskaż jeden czynnik istotny i jeden nieistotny (np. kolor łyżki).","To zjawisko przewodzenia ciepła — ciepło przepływa od gorącej herbaty (ciała o wyższej temperaturze) do łyżki (ciała o niższej temperaturze) poprzez bezpośredni kontakt. Czynnik istotny: materiał, z którego wykonana jest łyżka — np. metal przewodzi ciepło bardzo dobrze, więc szybko się nagrzewa, a drewno czy plastik przewodzą je słabo, więc nagrzewają się wolniej. Czynnik nieistotny: kolor łyżki — kolor wpływa np. na pochłanianie światła, ale nie ma żadnego wpływu na przewodnictwo cieplne materiału. Pułapka: wskazywanie jako „istotnych” cech niezwiązanych z mechanizmem przewodzenia ciepła, takich jak kolor, kształt ozdobny czy marka łyżki.",pułapka: wskazywanie czynników niezwiązanych z fizyką zjawiska (np. kolor),TAK,odpowiedzi-fizyka-wymagania-przekrojowe.csv
5,WYM-B03,1,Wymagania przekrojowe,Wymagania przekrojowe,B,3,Dostajesz opis: „zmierz czas spadania kulki z trzech różnych wysokości”…,"Dostajesz opis: „zmierz czas spadania kulki z trzech różnych wysokości”. Jakie dane musisz zapisać, żeby ktoś inny mógł powtórzyć pomiar?","Żeby ktoś inny mógł wiernie powtórzyć ten pomiar, trzeba zapisać: (1) dokładne wartości trzech wysokości z jednostką i informacją, jak były mierzone; (2) opis kulki (rodzaj materiału, masę, rozmiar) — różne kulki mogą inaczej reagować na opór powietrza; (3) sposób pomiaru czasu (np. rodzaj stopera i jego dokładność); (4) warunki początkowe — czy kulka była puszczana swobodnie, bez prędkości początkowej, oraz od jakiego dokładnie punktu mierzono wysokość (np. od dolnej krawędzi kulki do podłoża); (5) liczbę powtórzeń pomiaru dla każdej wysokości i uzyskane czasy. Pułapka: pominięcie warunków początkowych — bez informacji, że kulka startowała z prędkością zerową, i bez jasno określonego punktu odniesienia wysokości, nikt inny nie odtworzy dokładnie tego samego doświadczenia.",pułapka: pomijanie warunków początkowych,TAK,odpowiedzi-fizyka-wymagania-przekrojowe.csv
6,WYM-B04,1,Wymagania przekrojowe,Wymagania przekrojowe,B,4,"Wymień krok po kroku, jak zbadałbyś, czy woda przewodzi prąd, i jaką rolę…","Wymień krok po kroku, jak zbadałbyś, czy woda przewodzi prąd, i jaką rolę pełni w tym żarówka.","1) Buduję obwód elektryczny: źródło napięcia (np. bateria) połączone przewodami szeregowo z żarówką, z przerwą w obwodzie, do której podłączam dwie elektrody (np. metalowe druciki). 2) Zanurzam oba końce elektrod w naczyniu z wodą, upewniając się, że się ze sobą bezpośrednio nie stykają. 3) Obserwuję, czy żarówka się zaświeci. 4) Jeśli żarówka świeci, oznacza to, że w obwodzie płynie prąd, czyli woda w tych warunkach przewodzi prąd; jeśli nie świeci, obwód jest przerwany i przepływ prądu jest znikomy lub żaden. Żarówka pełni tu rolę wskaźnika (miernika) — sama nie „bada” wody, tylko sygnalizuje świeceniem, czy przez obwód (którego częścią jest woda) płynie prąd. Pułapka: pominięcie, że to właśnie świecenie żarówki, a nie sama woda, jest dowodem obserwacyjnym — żarówka nie jest badanym obiektem, lecz narzędziem wskazującym wynik.",pułapka: pomijanie roli przyrządu jako wskaźnika,TAK,odpowiedzi-fizyka-wymagania-przekrojowe.csv
7,WYM-B05,1,Wymagania przekrojowe,Wymagania przekrojowe,B,5,"Zmierzyłeś długość ołówka linijką z podziałką co 1 mm — 14,3 cm. Zapisz…","Zmierzyłeś długość ołówka linijką z podziałką co 1 mm — 14,3 cm. Zapisz wynik z niepewnością i wyjaśnij jej pochodzenie.","Wynik zapisujemy jako (14,3 ± 0,1) cm. Niepewność pochodzi z dokładności przyrządu: skoro najmniejsza działka linijki wynosi 1 mm (0,1 cm), to przy odczycie nie jesteśmy w stanie rozróżnić wartości mniejszych niż ta działka — dlatego przyjmujemy niepewność równą jednej najmniejszej działce, czyli 0,1 cm (w bardziej precyzyjnym podejściu bywa to połowa działki, czyli 0,05 cm — kluczowe jest, by nie była ona mniejsza od dokładności przyrządu). Pułapka: podanie niepewności bez jednostki (np. samo „±1” zamiast „±0,1 cm”) albo podanie niepewności mniejszej niż dokładność przyrządu (np. ±0,01 cm przy linijce z podziałką 1 mm) — sugerowałoby to fałszywą precyzję, której przyrząd faktycznie nie zapewnia.",pułapka: brak jednostki niepewności / niepewność większa niż dokładność przyrządu,TAK,odpowiedzi-fizyka-wymagania-przekrojowe.csv
8,WYM-B06,1,Wymagania przekrojowe,Wymagania przekrojowe,B,6,"Wynik obliczenia to 7,346 — podaj go z dokładnością do dwóch cyfr…","Wynik obliczenia to 7,346 — podaj go z dokładnością do dwóch cyfr znaczących.","Cyframi znaczącymi w liczbie 7,346 są kolejno: 7, 3, 4, 6 — licząc od pierwszej niezerowej cyfry, niezależnie od miejsca przecinka. Dwie pierwsze cyfry znaczące to „7” i „3”, a o zaokrągleniu decyduje kolejna cyfra, czyli „4”. Ponieważ 4 < 5, zaokrąglamy w dół, więc wynik z dokładnością do dwóch cyfr znaczących to 7,3. Pułapka: mylenie „dwóch cyfr znaczących” z „dwoma miejscami po przecinku” (co błędnie dałoby 7,35) — cyfry znaczące liczy się od pierwszej niezerowej cyfry liczby, a nie od przecinka. Druga typowa pułapka to niepewność co do progu „5” przy zaokrąglaniu, choć akurat w tym przykładzie odrzucana cyfra to 4, więc próg ten nie jest tu testowany.",pułapka: mylenie miejsc po przecinku z cyframi znaczącymi; próg zaokrąglania,TAK,odpowiedzi-fizyka-wymagania-przekrojowe.csv
9,WYM-B07,1,Wymagania przekrojowe,Wymagania przekrojowe,B,7,"Przelicz 2,5 km na metry oraz 350 mg na kilogramy.","Przelicz 2,5 km na metry oraz 350 mg na kilogramy.","2,5 km = 2,5 × 1000 m = 2500 m — ponieważ 1 km = 1000 m, a przechodzimy z jednostki większej (km) na mniejszą (m), więc wartość liczbową mnożymy przez przelicznik. 350 mg = 350 : 1 000 000 kg = 0,00035 kg — ponieważ 1 kg = 1000 g = 1 000 000 mg, a przechodzimy z jednostki mniejszej (mg) na większą (kg), więc wartość liczbową dzielimy przez przelicznik. Pułapka: pomylenie kierunku przeliczenia — przy przejściu z jednostki większej na mniejszą mnożymy (liczba rośnie), a z mniejszej na większą dzielimy (liczba maleje); częsty błąd to podzielenie zamiast pomnożenia przy km→m (błędne 0,0025 m) albo pomnożenie zamiast podzielenia przy mg→kg (błędne 350 000 kg).",pułapka: mylenie kierunku przeliczenia przy przedrostkach,TAK,odpowiedzi-fizyka-wymagania-przekrojowe.csv
10,WYM-B08,1,Wymagania przekrojowe,Wymagania przekrojowe,B,8,"Masz wykres — linia prosta przechodząca przez (0,0). Czy to zawsze…","Masz wykres — linia prosta przechodząca przez (0,0). Czy to zawsze proporcjonalność prosta? A jeśli prosta nie przechodzi przez zero?","Tak — linia prosta przechodząca przez punkt (0,0) to właśnie graficzny obraz proporcjonalności prostej: wartość y rośnie wprost proporcjonalnie do x, zgodnie ze wzorem y = a·x. Jeżeli natomiast prosta NIE przechodzi przez punkt (0,0) — np. przecina oś Y w innym miejscu — to mimo że wykres nadal jest linią prostą, zależność nie jest proporcjonalnością prostą, tylko ogólną zależnością liniową postaci y = a·x + b, gdzie b ≠ 0. Pułapka: nazywanie proporcjonalnością prostą każdej linii prostej na wykresie — warunkiem koniecznym proporcjonalności jest właśnie przechodzenie przez początek układu współrzędnych.",pułapka: nazywanie proporcjonalnością każdej linii prostej,TAK,odpowiedzi-fizyka-wymagania-przekrojowe.csv
