id,kod,przedmiot,partia_numer,partia_tytul,zagadnienie,wariant,numer_pytania,streszczenie_pytania,pytanie,odpowiedz_wzorcowa,notatka
1,CHEM-P1-A01,chemia,1,Substancje i ich właściwości,Substancje i ich właściwości,A,1,Właściwość fizyczna a metal/niemetal,"Wytłumacz koledze/koleżance, czym różni się „właściwość fizyczna” od tego, że dana substancja to metal albo niemetal — o co tak naprawdę chodzi w klasyfikowaniu substancji na podstawie właściwości?","Właściwość fizyczna to pojedyncza, konkretna cecha substancji, którą można zaobserwować lub zmierzyć bez zmieniania jej w inną substancję — np. barwa, gęstość, temperatura topnienia, przewodnictwo cieplne czy elektryczne, połysk, twardość. Podział na metale i niemetale to nie kolejna pojedyncza właściwość, tylko kategoria (klasyfikacja) budowana na podstawie całego zestawu takich właściwości występujących razem — metale zwykle mają połysk, dobrze przewodzą prąd i ciepło, są kowalne i ciągliwe, a niemetale najczęściej nie mają połysku, słabo przewodzą prąd i są kruche. Czyli najpierw sprawdzamy pojedyncze właściwości fizyczne, a dopiero na ich podstawie decydujemy, do której grupy substancja pasuje.",
2,CHEM-P1-A02,chemia,1,Substancje i ich właściwości,Substancje i ich właściwości,A,2,Zasada doboru metody rozdzielania mieszanin,"Po co w ogóle rozdzielamy mieszaniny na składniki, skoro można by po prostu użyć gotowej mieszaniny? Na czym polega ogólna zasada wyboru metody rozdzielania?","Mieszaniny rozdzielamy, bo do wielu celów potrzebujemy czystego składnika, a nie mieszaniny — np. do picia potrzebujemy czystej wody, a nie wody z piaskiem, a w laboratorium czy przemyśle czysta substancja ma dokładnie znane i powtarzalne właściwości. Ogólna zasada wyboru metody jest taka, że dobieramy ją do konkretnej różnicy we właściwościach fizycznych składników: jeśli różnią się rozmiarem cząstek — używamy sączenia lub sitowania, jeśli różnią się rozpuszczalnością — filtrujemy i odparowujemy lub krystalizujemy, jeśli różnią się temperaturą wrzenia — destylujemy, a jeśli różnią się gęstością — rozdzielamy przez sedymentację lub dekantację. Innymi słowy: metoda rozdzielania zawsze wykorzystuje jakąś konkretną różnicę fizyczną między składnikami.",
3,CHEM-P1-B01,chemia,1,Substancje i ich właściwości,Substancje i ich właściwości,B,1,Różnice właściwości soli i cukru,"Opisz, czym różnią się właściwości fizyczne soli kuchennej i cukru na tyle, żeby ktoś mógł je rozróżnić bez smakowania. Opisz słownie proste doświadczenie potwierdzające tę różnicę.","Sól kuchenna (chlorek sodu) i cukier (sacharoza) różnią się kilkoma właściwościami fizycznymi, nie tylko smakiem: sól tworzy drobne, sześcienne, przezroczyste kryształy, a cukier ma kryształy inaczej ukształtowane; sól rozpuszcza się w wodzie stosunkowo wolno i jej roztwór nie ulega karmelizacji przy podgrzewaniu, a cukier ma znacznie niższą temperaturę topnienia i pod wpływem ogrzewania topi się i brązowieje (karmelizuje), zanim zdąży się rozłożyć, podczas gdy sól ma bardzo wysoką temperaturę topnienia i pozostaje niezmieniona przy zwykłym podgrzaniu łyżeczki nad palnikiem. Proste doświadczenie: bierzemy dwie próbki na łyżeczkach metalowych i podgrzewamy je równomiernie nad płomieniem — cukier stopi się i zbrązowieje, a sól pozostanie białym proszkiem bez zmian. Częsty błąd to poprzestanie tylko na „smaku” jako jedynej różnicy — pułapka polega właśnie na tym, że smak nie jest tu wystarczającą ani jedyną odpowiedzią, bo pytanie wymaga rozróżnienia bez smakowania, więc trzeba odwołać się do rozpuszczalności, wyglądu kryształów lub temperatury topnienia.",pułapka: poprzestanie na smaku jako jedynej różnicy
4,CHEM-P1-B02,chemia,1,Substancje i ich właściwości,Substancje i ich właściwości,B,2,"Znak czaszki – trucizna, zasady BHP","Zobaczyłeś opakowanie ze znakiem czaszki i skrzyżowanych piszczeli. Co to oznacza i jak powinieneś się zachować, pracując z taką substancją?","Piktogram z czaszką i skrzyżowanymi piszczelami oznacza substancję toksyczną (truciznę) — czyli taką, która po połknięciu, wdychaniu lub wchłonięciu przez skórę może poważnie zaszkodzić zdrowiu lub zagrozić życiu, nawet w niewielkiej ilości. Pracując z taką substancją, należy unikać jakiegokolwiek kontaktu ze skórą, oczami i drogami oddechowymi, koniecznie używać rękawiczek i najlepiej okularów ochronnych, pracować w dobrze wentylowanym pomieszczeniu, nigdy jej nie smakować ani nie wąchać bezpośrednio, a po zakończeniu pracy dokładnie umyć ręce. Kluczowa pułapka: ten znak nie oznacza substancji żrącej ani drażniącej — te mają zupełnie inne piktogramy (żrąca to symbol z kroplami niszczącymi powierzchnię i dłoń), więc mylenie czaszki z substancją żrącą jest błędem — czaszka to zawsze sygnał trucizny.",pułapka: mylenie piktogramu trucizny z piktogramem substancji żrącej
5,CHEM-P1-B03,chemia,1,Substancje i ich właściwości,Substancje i ich właściwości,B,3,Trzy stany skupienia – przykłady,"Wymień trzy stany skupienia materii i podaj po jednym przykładzie substancji, która w temperaturze pokojowej występuje w każdym z nich.","Trzy stany skupienia to stały, ciekły i gazowy. Przykład substancji stałej w temperaturze pokojowej to np. żelazo albo sól kuchenna, przykład substancji ciekłej to np. woda albo alkohol etylowy, a przykład substancji gazowej to np. tlen albo dwutlenek węgla. Pułapka w tym pytaniu polega na tym, że nie wolno podać samej wody jako przykładu wszystkich trzech stanów (lód, woda, para wodna) — pytanie wyraźnie prosi o trzy różne substancje, z których każda naturalnie występuje w innym stanie właśnie w temperaturze pokojowej, a nie o tę samą substancję zmienianą sztucznie temperaturą.",pułapka: podanie wody we wszystkich trzech stanach zamiast trzech różnych substancji
6,CHEM-P1-B04,chemia,1,Substancje i ich właściwości,Substancje i ich właściwości,B,4,Dyfuzja a rozpuszczanie,Czym różni się dyfuzja od rozpuszczania? Podaj przykład jednego i drugiego zjawiska.,"Dyfuzja to samorzutne przenikanie i mieszanie się cząsteczek jednej substancji między cząsteczkami drugiej, wynikające z ich chaotycznego ruchu, i zachodzi bez udziału rozpuszczalnika — np. zapach perfum rozprzestrzeniający się po całym pokoju to dyfuzja cząsteczek gazu w powietrzu. Rozpuszczanie natomiast to proces, w którym jedna substancja (rozpuszczana) rozprasza się równomiernie w drugiej substancji pełniącej rolę rozpuszczalnika, tworząc jednorodny roztwór — np. cukier rozpuszczający się w wodzie. Różnica jest więc taka, że dyfuzja to ogólne zjawisko mieszania się cząsteczek (może zachodzić np. między gazami, bez żadnego rozpuszczalnika), a rozpuszczanie to szczególny przypadek mieszania, w którym zawsze bierze udział rozpuszczalnik i powstaje roztwór. Pułapka: nie każde mieszanie się to rozpuszczanie — dyfuzja gazów w powietrzu nie jest rozpuszczaniem, bo nie ma tu klasycznego rozpuszczalnika ciekłego, tylko wzajemne przenikanie cząsteczek.",pułapka: mylenie dyfuzji z rozpuszczaniem
7,CHEM-P1-B05,chemia,1,Substancje i ich właściwości,Substancje i ich właściwości,B,5,Mieszanina jednorodna i niejednorodna,"Podaj przykład mieszaniny jednorodnej i niejednorodnej i wytłumacz, po czym to rozpoznajesz gołym okiem.","Przykładem mieszaniny jednorodnej jest roztwór soli w wodzie — gołym okiem, a nawet pod mikroskopem optycznym, nie da się dostrzec granic między składnikami, cała ciecz wygląda tak samo w każdym miejscu (jest przezroczysta i jednolita). Przykładem mieszaniny niejednorodnej jest woda z piaskiem albo mętny sok z miąższem — tutaj widać wyraźnie osobne cząstki lub warstwy składników, ciecz jest mętna lub ziarnista, a po pewnym czasie cięższy składnik (np. piasek) opada na dno. Kluczowa pułapka: sama mętność albo jeden dominujący kolor cieczy nie świadczy o jednorodności — trzeba patrzeć, czy da się fizycznie wyodrębnić widoczne, osobne cząstki lub warstwy; mętna, ale pozornie jednokolorowa ciecz (np. zawiesina kredy w wodzie) to wciąż mieszanina niejednorodna, bo z czasem się rozdzieli.",pułapka: uznanie mętnej cieczy za jednorodną
8,CHEM-P1-B06,chemia,1,Substancje i ich właściwości,Substancje i ich właściwości,B,6,Rozdzielanie piasku i soli z wody,"Masz mieszaninę piasku i soli rozpuszczonej w wodzie. Jakich metod użyjesz krok po kroku, żeby odzyskać osobno piasek i sól?","Najpierw trzeba przeprowadzić sączenie (filtrację) całej mieszaniny przez sączek — piasek jako substancja nierozpuszczalna zostanie na sączku, a przez sączek przejdzie klarowny roztwór soli w wodzie (przesącz). Następnie ten przesącz (roztwór soli) trzeba poddać odparowaniu wody, np. przez podgrzewanie w parowniczce, aż woda odparuje i zostanie sucha sól — jeśli zależy nam na dużych, ładnych kryształach, można zamiast szybkiego odparowania zastosować powolną krystalizację. Kluczowy błąd, którego trzeba uniknąć: nie można od razu odparowywać całej mieszaniny z piaskiem — sączenie musi być pierwszym krokiem, bo dopiero ono rozdziela nierozpuszczalny piasek od rozpuszczonej soli; pominięcie sączenia sprawi, że po odparowaniu otrzymamy nieodseparowaną mieszaninę soli i piasku razem.",pułapka: pominięcie sączenia przed odparowaniem/krystalizacją
9,CHEM-P1-B07,chemia,1,Substancje i ich właściwości,Substancje i ich właściwości,B,7,Woda mineralna – związek czy mieszanina?,"Czy woda mineralna to związek chemiczny, mieszanina czy pierwiastek? Uzasadnić.","Woda mineralna to mieszanina (dokładniej: roztwór), a nie czysty związek chemiczny ani pierwiastek. Zawiera bowiem wodę (H2O) jako rozpuszczalnik oraz rozpuszczone w niej różne sole mineralne i gazy, np. jony wapnia, magnezu, sodu, wodorowęglany czy rozpuszczony dwutlenek węgla — a skład i proporcje tych składników różnią się w zależności od źródła wody. Pułapka polega na myleniu czystej wody destylowanej, która rzeczywiście jest związkiem chemicznym H2O, z wodą mineralną, która nigdy nie jest czystym H2O, tylko roztworem wody z rozpuszczonymi w niej innymi substancjami — dlatego to, że nazwa zawiera słowo „woda”, nie oznacza, że jest to ten sam byt co czysty związek chemiczny.",pułapka: mylenie związku chemicznego H2O z wodą mineralną jako roztworem
10,CHEM-P1-B08,chemia,1,Substancje i ich właściwości,Substancje i ich właściwości,B,8,Metal i niemetal – cechy odróżniające,"Podaj po jednym przykładzie metalu i niemetalu i wymień dwie cechy, po których je odróżniasz.","Przykładem metalu jest żelazo, a przykładem niemetalu jest siarka. Dwie cechy, po których je odróżniamy: po pierwsze przewodnictwo — metale, takie jak żelazo, dobrze przewodzą prąd elektryczny i ciepło, a niemetale, takie jak siarka, są złymi przewodnikami (izolatorami); po drugie wygląd i podatność na odkształcenia — metale mają charakterystyczny połysk metaliczny i są kowalne oraz ciągliwe (można je wyginać, kuć, ciągnąć w druty bez pękania), a niemetale najczęściej nie mają połysku i są kruche, czyli łatwo się łamią lub kruszą pod naciskiem. Pułapka: samo stwierdzenie „metal jest twardy” to za mało i bywa nawet mylące (bo są miękkie metale, np. sód), dlatego odpowiedź musi odwoływać się do przewodnictwa i/lub połysku i kowalności, a nie do samej twardości.",pułapka: poprzestanie na „metal jest twardy” zamiast przewodnictwa/połysku
